Time (s),Value (V)
0.000000,-0.000143
0.001000,-0.000141
0.002000,-0.000144
0.003000,-0.000142
0.004000,-0.000148
0.005000,-0.000143
0.006000,-0.000146
0.007000,-0.000150
0.008000,-0.000136
0.009000,-0.000139
0.010000,-0.000137
0.011000,-0.000140
0.012000,-0.000142
0.013000,-0.000144
0.014000,-0.000136
0.015000,-0.000133
0.016000,-0.000143
0.017000,-0.000140
0.018000,-0.000140
0.019000,-0.000137
0.020000,-0.000135
0.021000,-0.000134
0.022000,-0.000135
0.023000,-0.000147
0.024000,-0.000143
0.025000,-0.000152
0.026000,-0.000143
0.027000,-0.000160
0.028000,-0.000153
0.029000,-0.000162
0.030000,-0.000156
0.031000,-0.000161
0.032000,-0.000154
0.033000,-0.000158
0.034000,-0.000153
0.035000,-0.000158
0.036000,-0.000152
0.037000,-0.000159
0.038000,-0.000154
0.039000,-0.000163
0.040000,-0.000157
0.041000,-0.000157
0.042000,-0.000154
0.043000,-0.000160
0.044000,-0.000160
0.045000,-0.000164
0.046000,-0.000166
0.047000,-0.000163
0.048000,-0.000168
0.049000,-0.000162
0.050000,-0.000153
0.051000,-0.000153
0.052000,-0.000156
0.053000,-0.000151
0.054000,-0.000152
0.055000,-0.000155
0.056000,-0.000152
0.057000,-0.000151
0.058000,-0.000152
0.059000,-0.000147
0.060000,-0.000145
0.061000,-0.000142
0.062000,-0.000147
0.063000,-0.000152
0.064000,-0.000146
0.065000,-0.000151
0.066000,-0.000149
0.067000,-0.000144
0.068000,-0.000165
0.069000,-0.000168
0.070000,-0.000162
0.071000,-0.000161
0.072000,-0.000170
0.073000,-0.000165
0.074000,-0.000165
0.075000,-0.000170
0.076000,-0.000170
0.077000,-0.000168
0.078000,-0.000171
0.079000,-0.000162
0.080000,-0.000158
0.081000,-0.000152
0.082000,-0.000149
0.083000,-0.000145
0.084000,-0.000154
0.085000,-0.000157
0.086000,-0.000155
0.087000,-0.000153
0.088000,-0.000148
0.089000,-0.000149
0.090000,-0.000149
0.091000,-0.000144
0.092000,-0.000143
0.093000,-0.000129
0.094000,-0.000128
0.095000,-0.000134
0.096000,-0.000142
0.097000,-0.000145
0.098000,-0.000148
0.099000,-0.000147
0.100000,-0.000144
0.101000,-0.000139
0.102000,-0.000135
0.103000,-0.000135
0.104000,-0.000141
0.105000,-0.000144
0.106000,-0.000143
0.107000,-0.000145
0.108000,-0.000144
0.109000,-0.000149
0.110000,-0.000149
0.111000,-0.000147
0.112000,-0.000149
0.113000,-0.000147
0.114000,-0.000160
0.115000,-0.000157
0.116000,-0.000167
0.117000,-0.000163
0.118000,-0.000160
0.119000,-0.000160
0.120000,-0.000166
0.121000,-0.000163
0.122000,-0.000161
0.123000,-0.000136
0.124000,-0.000153
0.125000,-0.000143
0.126000,-0.000146
0.127000,-0.000143
0.128000,-0.000158
0.129000,-0.000148
0.130000,-0.000150
0.131000,-0.000147
0.132000,-0.000149
0.133000,-0.000148
0.134000,-0.000151
0.135000,-0.000150
0.136000,-0.000149
0.137000,-0.000152
0.138000,-0.000155
0.139000,-0.000154
0.140000,-0.000148
0.141000,-0.000149
0.142000,-0.000149
0.143000,-0.000152
0.144000,-0.000135
0.145000,-0.000142
0.146000,-0.000142
0.147000,-0.000154
0.148000,-0.000156
0.149000,-0.000158
0.150000,-0.000160
0.151000,-0.000163
0.152000,-0.000148
0.153000,-0.000148
0.154000,-0.000150
0.155000,-0.000147
0.156000,-0.000145
0.157000,-0.000156
0.158000,-0.000156
0.159000,-0.000152
0.160000,-0.000154
0.161000,-0.000153
0.162000,-0.000152
0.163000,-0.000153
0.164000,-0.000153
0.165000,-0.000154
0.166000,-0.000162
0.167000,-0.000163
0.168000,-0.000166
0.169000,-0.000171
0.170000,-0.000167
0.171000,-0.000167
0.172000,-0.000176
0.173000,-0.000170
0.174000,-0.000177
0.175000,-0.000168
0.176000,-0.000170
0.177000,-0.000171
0.178000,-0.000173
0.179000,-0.000166
0.180000,-0.000172
0.181000,-0.000171
0.182000,-0.000176
0.183000,-0.000170
0.184000,-0.000156
0.185000,-0.000152
0.186000,-0.000164
0.187000,-0.000161
0.188000,-0.000167
0.189000,-0.000166
0.190000,-0.000169
0.191000,-0.000163
0.192000,-0.000169
0.193000,-0.000167
0.194000,-0.000167
0.195000,-0.000157
0.196000,-0.000159
0.197000,-0.000154
0.198000,-0.000164
0.199000,-0.000154
0.200000,-0.000153
0.201000,-0.000147
0.202000,-0.000146
0.203000,-0.000138
0.204000,-0.000136
0.205000,-0.000145
0.206000,-0.000141
0.207000,-0.000156
0.208000,-0.000145
0.209000,-0.000159
0.210000,-0.000153
0.211000,-0.000152
0.212000,-0.000145
0.213000,-0.000152
0.214000,-0.000129
0.215000,-0.000139
0.216000,-0.000134
0.217000,-0.000143
0.218000,-0.000133
0.219000,-0.000135
0.220000,-0.000138
0.221000,-0.000140
0.222000,-0.000144
0.223000,-0.000142
0.224000,-0.000149
0.225000,-0.000144
0.226000,-0.000146
0.227000,-0.000140
0.228000,-0.000151
0.229000,-0.000146
0.230000,-0.000145
0.231000,-0.000147
0.232000,-0.000151
0.233000,-0.000153
0.234000,-0.000152
0.235000,-0.000156
0.236000,-0.000157
0.237000,-0.000149
0.238000,-0.000140
0.239000,-0.000141
0.240000,-0.000143
0.241000,-0.000150
0.242000,-0.000145
0.243000,-0.000149
0.244000,-0.000154
0.245000,-0.000164
0.246000,-0.000153
0.247000,-0.000148
0.248000,-0.000152
0.249000,-0.000148
0.250000,-0.000156
0.251000,-0.000161
0.252000,-0.000165
0.253000,-0.000163
0.254000,-0.000163
0.255000,-0.000150
0.256000,-0.000158
0.257000,-0.000157
0.258000,-0.000157
0.259000,-0.000156
0.260000,-0.000165
0.261000,-0.000163
0.262000,-0.000169
0.263000,-0.000166
0.264000,-0.000169
0.265000,-0.000173
0.266000,-0.000171
0.267000,-0.000163
0.268000,-0.000180
0.269000,-0.000174
0.270000,-0.000172
0.271000,-0.000170
0.272000,-0.000173
0.273000,-0.000167
0.274000,-0.000158
0.275000,-0.000153
0.276000,-0.000154
0.277000,-0.000161
0.278000,-0.000164
0.279000,-0.000162
0.280000,-0.000170
0.281000,-0.000173
0.282000,-0.000174
0.283000,-0.000169
0.284000,-0.000178
0.285000,-0.000171
0.286000,-0.000176
0.287000,-0.000171
0.288000,-0.000169
0.289000,-0.000160
0.290000,-0.000166
0.291000,-0.000164
0.292000,-0.000170
0.293000,-0.000167
0.294000,-0.000164
0.295000,-0.000166
0.296000,-0.000165
0.297000,-0.000158
0.298000,-0.000155
0.299000,-0.000157
0.300000,-0.000159
0.301000,-0.000160
0.302000,-0.000159
0.303000,-0.000161
0.304000,-0.000151
0.305000,-0.000157
0.306000,-0.000153
0.307000,-0.000167
0.308000,-0.000157
0.309000,-0.000164
0.310000,-0.000159
0.311000,-0.000164
0.312000,-0.000164
0.313000,-0.000167
0.314000,-0.000171
0.315000,-0.000160
0.316000,-0.000160
0.317000,-0.000163
0.318000,-0.000163
0.319000,-0.000165
0.320000,-0.000174
0.321000,-0.000166
0.322000,-0.000176
0.323000,-0.000168
0.324000,-0.000159
0.325000,-0.000149
0.326000,-0.000153
0.327000,-0.000149
0.328000,-0.000149
0.329000,-0.000146
0.330000,-0.000150
0.331000,-0.000156
0.332000,-0.000155
0.333000,-0.000163
0.334000,-0.000163
0.335000,-0.000158
0.336000,-0.000157
0.337000,-0.000151
0.338000,-0.000148
0.339000,-0.000145
0.340000,-0.000143
0.341000,-0.000145
0.342000,-0.000141
0.343000,-0.000152
0.344000,-0.000156
0.345000,-0.000160
0.346000,-0.000157
0.347000,-0.000155
0.348000,-0.000162
0.349000,-0.000157
0.350000,-0.000160
0.351000,-0.000166
0.352000,-0.000165
0.353000,-0.000161
0.354000,-0.000170
0.355000,-0.000151
0.356000,-0.000158
0.357000,-0.000156
0.358000,-0.000162
0.359000,-0.000157
0.360000,-0.000167
0.361000,-0.000157
0.362000,-0.000171
0.363000,-0.000177
0.364000,-0.000176
0.365000,-0.000161
0.366000,-0.000160
0.367000,-0.000151
0.368000,-0.000159
0.369000,-0.000159
0.370000,-0.000156
0.371000,-0.000157
0.372000,-0.000145
0.373000,-0.000145
0.374000,-0.000153
0.375000,-0.000151
0.376000,-0.000155
0.377000,-0.000156
0.378000,-0.000160
0.379000,-0.000153
0.380000,-0.000164
0.381000,-0.000167
0.382000,-0.000169
0.383000,-0.000167
0.384000,-0.000167
0.385000,-0.000165
0.386000,-0.000165
0.387000,-0.000167
0.388000,-0.000166
0.389000,-0.000167
0.390000,-0.000168
0.391000,-0.000157
0.392000,-0.000161
0.393000,-0.000153
0.394000,-0.000153
0.395000,-0.000153
0.396000,-0.000146
0.397000,-0.000150
0.398000,-0.000147
0.399000,-0.000154
0.400000,-0.000150
0.401000,-0.000148
0.402000,-0.000144
0.403000,-0.000151
0.404000,-0.000147
0.405000,-0.000152
0.406000,-0.000165
0.407000,-0.000165
0.408000,-0.000157
0.409000,-0.000161
0.410000,-0.000158
0.411000,-0.000158
0.412000,-0.000152
0.413000,-0.000154
0.414000,-0.000153
0.415000,-0.000139
0.416000,-0.000140
0.417000,-0.000139
0.418000,-0.000145
0.419000,-0.000143
0.420000,-0.000145
0.421000,-0.000142
0.422000,-0.000144
0.423000,-0.000147
0.424000,-0.000144
0.425000,-0.000142
0.426000,-0.000149
0.427000,-0.000145
0.428000,-0.000145
0.429000,-0.000142
0.430000,-0.000145
0.431000,-0.000149
0.432000,-0.000140
0.433000,-0.000151
0.434000,-0.000134
0.435000,-0.000142
0.436000,-0.000140
0.437000,-0.000145
0.438000,-0.000146
0.439000,-0.000158
0.440000,-0.000156
0.441000,-0.000157
0.442000,-0.000150
0.443000,-0.000156
0.444000,-0.000162
0.445000,-0.000165
0.446000,-0.000162
0.447000,-0.000161
0.448000,-0.000160
0.449000,-0.000161
0.450000,-0.000168
0.451000,-0.000165
0.452000,-0.000170
0.453000,-0.000166
0.454000,-0.000171
0.455000,-0.000174
0.456000,-0.000180
0.457000,-0.000176
0.458000,-0.000187
0.459000,-0.000182
0.460000,-0.000181
0.461000,-0.000175
0.462000,-0.000179
0.463000,-0.000176
0.464000,-0.000183
0.465000,-0.000174
0.466000,-0.000166
0.467000,-0.000171
0.468000,-0.000162
0.469000,-0.000160
0.470000,-0.000171
0.471000,-0.000173
0.472000,-0.000174
0.473000,-0.000177
0.474000,-0.000179
0.475000,-0.000176
0.476000,-0.000182
0.477000,-0.000176
0.478000,-0.000178
0.479000,-0.000178
0.480000,-0.000181
0.481000,-0.000185
0.482000,-0.000192
0.483000,-0.000171
0.484000,-0.000167
0.485000,-0.000167
0.486000,-0.000174
0.487000,-0.000167
0.488000,-0.000168
0.489000,-0.000160
0.490000,-0.000169
0.491000,-0.000171
0.492000,-0.000174
0.493000,-0.000167
0.494000,-0.000164
0.495000,-0.000164
0.496000,-0.000165
0.497000,-0.000161
0.498000,-0.000156
0.499000,-0.000160
0.500000,-0.000155
0.501000,-0.000157
0.502000,-0.000152
0.503000,-0.000155
0.504000,-0.000156
0.505000,-0.000157
0.506000,-0.000161
0.507000,-0.000151
0.508000,-0.000154
0.509000,-0.000150
0.510000,-0.000140
0.511000,-0.000142
0.512000,-0.000140
0.513000,-0.000144
0.514000,-0.000147
0.515000,-0.000140
0.516000,-0.000143
0.517000,-0.000137
0.518000,-0.000152
0.519000,-0.000147
0.520000,-0.000153
0.521000,-0.000154
0.522000,-0.000142
0.523000,-0.000141
0.524000,-0.000138
0.525000,-0.000139
0.526000,-0.000139
0.527000,-0.000139
0.528000,-0.000135
0.529000,-0.000139
0.530000,-0.000131
0.531000,-0.000142
0.532000,-0.000140
0.533000,-0.000145
0.534000,-0.000152
0.535000,-0.000153
0.536000,-0.000160
0.537000,-0.000148
0.538000,-0.000157
0.539000,-0.000149
0.540000,-0.000150
0.541000,-0.000150
0.542000,-0.000160
0.543000,-0.000157
0.544000,-0.000155
0.545000,-0.000153
0.546000,-0.000162
0.547000,-0.000155
0.548000,-0.000164
0.549000,-0.000160
0.550000,-0.000166
0.551000,-0.000168
0.552000,-0.000161
0.553000,-0.000140
0.554000,-0.000155
0.555000,-0.000158
0.556000,-0.000161
0.557000,-0.000165
0.558000,-0.000174
0.559000,-0.000164
0.560000,-0.000168
0.561000,-0.000167
0.562000,-0.000166
0.563000,-0.000160
0.564000,-0.000146
0.565000,-0.000148
0.566000,-0.000150
0.567000,-0.000146
0.568000,-0.000144
0.569000,-0.000147
0.570000,-0.000144
0.571000,-0.000141
0.572000,-0.000140
0.573000,-0.000130
0.574000,-0.000129
0.575000,-0.000131
0.576000,-0.000134
0.577000,-0.000136
0.578000,-0.000146
0.579000,-0.000140
0.580000,-0.000124
0.581000,-0.000127
0.582000,-0.000126
0.583000,-0.000136
0.584000,-0.000132
0.585000,-0.000127
0.586000,-0.000113
0.587000,-0.000119
0.588000,-0.000129
0.589000,-0.000129
0.590000,-0.000140
0.591000,-0.000119
0.592000,-0.000122
0.593000,-0.000126
0.594000,-0.000126
0.595000,-0.000119
0.596000,-0.000136
0.597000,-0.000131
0.598000,-0.000136
0.599000,-0.000141
0.600000,-0.000150
0.601000,-0.000154
0.602000,-0.000151
0.603000,-0.000161
0.604000,-0.000160
0.605000,-0.000170
0.606000,-0.000159
0.607000,-0.000163
0.608000,-0.000159
0.609000,-0.000162
0.610000,-0.000165
0.611000,-0.000157
0.612000,-0.000151
0.613000,-0.000151
0.614000,-0.000148
0.615000,-0.000149
0.616000,-0.000148
0.617000,-0.000149
0.618000,-0.000150
0.619000,-0.000146
0.620000,-0.000157
0.621000,-0.000158
0.622000,-0.000163
0.623000,-0.000158
0.624000,-0.000156
0.625000,-0.000157
0.626000,-0.000161
0.627000,-0.000150
0.628000,-0.000163
0.629000,-0.000156
0.630000,-0.000160
0.631000,-0.000158
0.632000,-0.000173
0.633000,-0.000168
0.634000,-0.000160
0.635000,-0.000161
0.636000,-0.000156
0.637000,-0.000159
0.638000,-0.000152
0.639000,-0.000157
0.640000,-0.000151
0.641000,-0.000149
0.642000,-0.000152
0.643000,-0.000150
0.644000,-0.000148
0.645000,-0.000147
0.646000,-0.000152
0.647000,-0.000145
0.648000,-0.000132
0.649000,-0.000136
0.650000,-0.000132
0.651000,-0.000140
0.652000,-0.000144
0.653000,-0.000137
0.654000,-0.000143
0.655000,-0.000146
0.656000,-0.000144
0.657000,-0.000151
0.658000,-0.000150
0.659000,-0.000151
0.660000,-0.000156
0.661000,-0.000158
0.662000,-0.000154
0.663000,-0.000157
0.664000,-0.000169
0.665000,-0.000172
0.666000,-0.000176
0.667000,-0.000176
0.668000,-0.000176
0.669000,-0.000177
0.670000,-0.000167
0.671000,-0.000169
0.672000,-0.000162
0.673000,-0.000158
0.674000,-0.000150
0.675000,-0.000152
0.676000,-0.000148
0.677000,-0.000147
0.678000,-0.000150
0.679000,-0.000151
0.680000,-0.000142
0.681000,-0.000150
0.682000,-0.000145
0.683000,-0.000143
0.684000,-0.000150
0.685000,-0.000144
0.686000,-0.000142
0.687000,-0.000144
0.688000,-0.000139
0.689000,-0.000141
0.690000,-0.000147
0.691000,-0.000144
0.692000,-0.000145
0.693000,-0.000142
0.694000,-0.000133
0.695000,-0.000141
0.696000,-0.000148
0.697000,-0.000147
0.698000,-0.000148
0.699000,-0.000147
0.700000,-0.000154
0.701000,-0.000154
0.702000,-0.000164
0.703000,-0.000156
0.704000,-0.000149
0.705000,-0.000148
0.706000,-0.000154
0.707000,-0.000154
0.708000,-0.000156
0.709000,-0.000155
0.710000,-0.000162
0.711000,-0.000142
0.712000,-0.000141
0.713000,-0.000149
0.714000,-0.000159
0.715000,-0.000155
0.716000,-0.000154
0.717000,-0.000152
0.718000,-0.000154
0.719000,-0.000157
0.720000,-0.000155
0.721000,-0.000168
0.722000,-0.000158
0.723000,-0.000157
0.724000,-0.000154
0.725000,-0.000158
0.726000,-0.000155
0.727000,-0.000152
0.728000,-0.000154
0.729000,-0.000150
0.730000,-0.000144
0.731000,-0.000146
0.732000,-0.000146
0.733000,-0.000148
0.734000,-0.000149
0.735000,-0.000148
0.736000,-0.000148
0.737000,-0.000146
0.738000,-0.000143
0.739000,-0.000140
0.740000,-0.000146
0.741000,-0.000146
0.742000,-0.000151
0.743000,-0.000140
0.744000,-0.000152
0.745000,-0.000146
0.746000,-0.000158
0.747000,-0.000154
0.748000,-0.000160
0.749000,-0.000159
0.750000,-0.000169
0.751000,-0.000164
0.752000,-0.000176
0.753000,-0.000170
0.754000,-0.000169
0.755000,-0.000168
0.756000,-0.000163
0.757000,-0.000165
0.758000,-0.000167
0.759000,-0.000157
0.760000,-0.000158
0.761000,-0.000150
0.762000,-0.000138
0.763000,-0.000135
0.764000,-0.000140
